Número de proyecto,Clave del programa,Fondo,Clave de la entidad federativa,Entidad Federativa,Clave del municipio,Nombre del municipio,Nombre del proyecto,Monto aprobado,Pagado,
3685,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,114,PUEBLA,REHABILITACIÓN DEL PARQUE ROMERO VARGAS EN LA JUNTA AUXILIAR IGNACIO ROMERO VARGAS DEL MUNICIPIO DE PUEBLA,"5,250,000.00","2,596,125.00",
3686,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,57,HONEY,"CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO EN LA CALLE VENUSTIANO CARRANZA ENTRE CALLE TLAXCAL Y PINO PATULA, DE LA LOCALIDAD DE HONEY EN EL MUNICIPIO DE HONEY","750,000.00","370,875.00",
3687,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,57,HONEY,"PAVIMENTACION CON CONCRETO HIDRAULICO EN CALLE HIDALGO, ENTRE ZARAGOZA Y CAMINO A SAN PEDRO, EN LA LOCALIDAD DE CHILA DE JUAREZ, MUNICIPIO DE HONEY","750,000.00","370,875.00",
3688,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,149,SANTIAGO MIAHUATLÁN,"CONSTRUCCIÓN DE CANCHA DE FUTBOL 5 EN EL BARRIO DE GUADALUPE, EN SANTIAGO MIAHUATLAN DEL MUNICIPIO DE SANTIAGO MIAHUATLAN","2,500,000.00","1,236,250.00",
3689,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,149,SANTIAGO MIAHUATLÁN,"CONSTRUCCIÓN DE ADOQUINAMIENTO EN LA CALLE 13 PONIENTE ENTRE LA CALLE 15 DE SEPTIEMBRE Y 1a  PRIVADA DE LA 13 PONIENTE, BARRIO SANTA CLARA EN LA LOCALIDAD DE SANTIAGO MIAHUATLÁN, MUNICIPIO DE SANTIAGO MIAHUATLAN","500,000.00","247,250.00",
3690,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,69,HUAQUECHULA," “CONSTRUCCION DE PUENTE VEHICULAR, EN LA LOCALIDAD DE SAN JUAN VALLARTA PERTENECIENTE AL MUNICIPIO DE HUAQUECHULA, PUEBLA”","2,500,000.00","1,236,250.00",
3691,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,52,CHIGMECATITLÁN,"CENTRO DE ATENCION MULTIPLE COMUNITARIO EN LA LOCALIDAD DE CHIGMECATITLAN, MUNICIPIO DE CHIGMECATITLAN.","2,273,486.00","1,124,238.83",
3692,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,19,ATLIXCO,"REHABILITACIÓN DE CARPETA ASFÁLTICA EN BOULEVARD FERROCARRILES CAD. 0+000.00 AL CAD. 0+760.00, ENTRE AVENIDA INDEPENDENCIA Y CALLE EMILIANO ZAPATA, EN LA LOCALIDAD DE ATLIXCO DEL MUNICIPIO DE ATLIXCO, PUEBLA","5,623,216.00","2,780,680.31",
3693,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,144,SAN SALVADOR HUIXCOLOTLA,ADOQUINAMIENTO DE LA CALLE PROLONGACIÓN SITIO DE CUAUTLA ENTRE AV. 16 DE SEPTIEMBRE Y CALLA M. ÁVILA CAMACHO ,"1,000,000.00","494,500.00",
3694,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,45,CHALCHICOMULA DE SESMA,"PAVIMENTO DE CONCRETO HIDRAULICO DE LA CALLE GUADALUPE ENTRE CALLE TEPEYAC Y CALLE SIN NOMBRE Y  CALLE TEPEYAC ENTRE CARRETERA CIUDAD SERDAN Y CALLE MISTERIOS EN LA LOCALIDAD DE  SAN FRANCISCO CUAUTLANCINGO, MUNICIPIO DE CHALCHICOMULA DE SESMA","2,150,000.00","1,063,175.00",
3695,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,100,NAUPAN,"PAVIMENTACION CON CONCRETO HIDRAULICO DE LA CALLE DE ACCESO AL PANTEON ENTRE LA CALLE ZAGAGOZA Y EL PANTEON, DE LA LOCALIDAD DE CHACHAHUANTLA, EN EL MUNICIPIO DE NAUPAN, PUEBLA","1,500,000.00","741,750.00",
3696,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,83,IXTACAMAXTITLÁN,"""CONSTRUCCIÓN DE PAVIMENTO DE CONCRETO HIDRÁULICO DE LA CALLE MORELOS ENTRE CALLE REFORMA Y NARCISO MENDOZA, CONTINUA EN CALLE REFORMA ENTRE CALLE PALMA Y MORELOS EN LA LOCALIDAD DE IXTACAMAXTITLAN, MUNICIPIO IXTACAMAXTITLAN,  PUEBLA.","2,400,000.00","1,186,800.00",
3697,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,83,IXTACAMAXTITLÁN,"""CONSTRUCCIÓN DE PAVIMENTO DE CONCRETO HIDRÁULICO DE LA CALLE JUAREZ ENTRE CALLE REFORMA Y AV. REVOLUCIÓN Y CONTINUA ENTREA AV. INDEPENDECIA Y LA UNIDAD DEPORTIVA DE LA LOCALIDAD DE IXTACAMAXTITLAN, MUNICIPIO DE IXTACAMAXTITLAN, PUEBLA"".","3,900,000.00","1,928,550.00",
3698,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,83,IXTACAMAXTITLÁN,"""CONSTRUCCIÓN DE PAVIMENTO DE CONCRETO HIDRÁULICO DE LA CALLE NARCISO MENDOZA ENTRE CALLE PALMA Y EL AUDITORIO MUNICIPAL EN LA LOCALIDAD DE IXTACAMAXTITLÁN, MUNICIPIO DE IXTACAMAXTITLÁN, PUEBLA""","1,800,000.00","890,100.00",
3699,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,51,CHIETLA,"PAVIMENTACIÓN CON CONCRETO HIDRÁULICO DE LA CALLE ALDAMA ENTRE LAS CALLES EL MIRADOR E ITURBIDE, VIBORILLAS DE HIDALGO, CHIETLA, PUEBLA","3,000,000.00","1,483,500.00",
3700,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,51,CHIETLA,"REHABILITACIÓN DE PAVIMENTO DE CONCRETO HIDRÁULICO DE LA CALLE VICTORIA ENTRE LAS CALLES ITURBIDE E INDEPENDENCIA, CHIETLA,PUEBLA","1,258,000.00","622,081.00",
3701,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,51,CHIETLA,"CONSTRUCCIÓN DE CANCHA DE USOS MÚLTIPLES Y SANITARIOS EN LA COMUNIDAD DE SAN MIGUEL LA TOMA, CHIETLA, PUEBLA","1,150,724.00","569,033.02",
3702,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,175,TIANGUISMANALCO,CONSTRUCCION DE TECHADO EN CANCHA DE USOS MULTIPLES EN ESCUELA BACHILLERATO MA. DEL CARMEN SERDAN CLAVE 21EBH0199Y DE LA LOCALIDAD DE TIANGUISMANALCO,"1,572,549.00","777,625.48",
3703,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,113,PIAXTLA,"ADOQUINAMIENTO DE LA CALLE FRANCISCO I. MADERO ENTRE AV. 5 DE MAYO Y CALLE LEONA VICARIO, EN LA LOCALIDAD DE PIXTLA, PERTENECIENTE AL MUNICIPIO DE PIAXTLA, PUEBLA","1,004,420.00","496,685.69",
3704,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,1,ACAJETE,ADOQUINAMIENTO DE LA CALLE 8 PONIENTE ENTRE 17 Y 7 NORTE DE LA MAGDALENA TETELA MORELOS,"3,000,000.00","1,483,500.00",
3705,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,118,LOS REYES DE JUÁREZ,CONSTRUCCIÓN DE BIBLIOTECA MUNICIPAL AGROPECUARIA EN LOS REYES DE JUÁREZ.,"2,000,000.00","989,000.00",
3706,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,4,ACATZINGO,"CONSTRUCCIÓN DE PAVIMENTO CON CONCRETO HIDRAULICO DE LA CALLE RODOLFO SANCHEZ TABOADA ENTRE CALLE 4 SUR Y CALLE 3 SUR EN ACATZINGO DE HIDALGO, PUEBLA.","7,500,000.00","3,708,750.00",
3707,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,38,CUAPIAXTLA DE MADERO,"CONSTRUCCIÓN DE DOS AULAS DIDÁCTICAS EN ESTRUCTURA REGIONAL ""C"" EN JARDÍN DE NIÑOS ESCRITOR FRANCISCO ZARCO CLAVE 21DJN0324Z Y JARDÍN DE NIÑOS FEDERICO FROEBEL CON CLAVE 21DJN2042F; ADEMAS DE LA CONSTRUCCION DE BIBLIOTECAS EN ESTRUCTURA REGIONAL ""C"" EN LA TELESECUNDARIA MIGUEL NEGRETE CLAVE 21ETV0272Z Y ESCUELA PRIMARIA BENITO JUÁREZ CLAVE 21DPR2747K; Y LA CONSTRUCCIÓN DE UNA DIRECCIÓN CON MODULO SANITARIO EN ESCUELA SECUNDARIA GENERAL ÁLVARO OBREGÓN CLAVE 21EES0320M DEL MUNICIPIO  CUAPIAXTLA DE MADERO.","2,200,000.00","1,087,900.00",
3708,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,153,TECALI DE HERRERA,"CONSTRUCCIÓN  DE CANCHA DE FUTBOL RAPIDO, EN LA LOCALIDAD DE AHUATEPEC, TECALI DE HERRERA, PUE","1,000,000.00","494,500.00",
3709,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,189,TOCHTEPEC,"ADOQUINAMIENTO DE LA CALLE 6 ORIENTE ENTRE CARRETERA A TOCHTEPEC, CALLE 2 SUR Y CALLE 4 SUR DE LA LOCALIDAD DE SAN MARTIN CALTENCO DEL MUNICIPIO DE TOCHTEPEC.","1,194,772.32","590,814.92",
3710,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,189,TOCHTEPEC,ADOQUINAMIENTO DE LA CALLE 10 NORTE ENTRE 2 ORIENTE Y 6 ORIENTE DE LA LOCALIDAD DE SAN LORENZO OMETEPEC DEL MUNICIPIO DE TOCHTEPEC,"1,176,225.77","581,643.64",
3711,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,189,TOCHTEPEC,CONSTRUCCION DE TECHADO EN LA ESCUELA PRIMARIA JUSTO SIERRA CON CLAVE 21DPR0706X EN LA LOCALIDAD DE CHIPILTEPEC DEL MUNICIPIO DE TOCHTEPEC,"1,608,840.20","795,571.48",
3712,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,189,TOCHTEPEC,"ADOQUINAMIENTO DE LA CALLE  LA REDONDA ENTRE 5 NORTE Y EL KINDER DE LA LOCALIDAD DE SAN LORENZO OMETEPEC, MUNICIPIO DE TOCHTEPEC.","946,788.84","468,187.08",
3713,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,189,TOCHTEPEC,ADOQUINAMIENTO DE LA CALLE PRINCIPAL ENTRE LA ESCUELA PRIMARIA EMILIANO ZAPATA CLAVE 21DPR3626F Y EL PREESCOLAR NIÑOS DE LA ENSEÑANZA CLAVE 21KJN0658SU DE LA LOCALIDAD DE EJIDO VERACRUCITO DEL MUNICIPIO DE TOCHTEPEC,"1,240,527.94","613,441.07",
3714,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,189,TOCHTEPEC,ADOQUINAMIENTO DE LA CALLE PRINCIPAL DE SANTA CECILIA ENTRE CAMINO REAL Y CALLE 22 DE NOVIEMBRE DE LA LOCALIDAD DE SANTA CECILIA EN EL MUNICIPIO DE TOCHTEPEC  ,"593,304.38","293,389.02",
3715,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,189,TOCHTEPEC,ADOQUINAMIENTO DE LA CALLE 6 NORTE ENTRE AV. EMILIANO ZAPATA Y 9 ORIENTE DE LA LOCALIDAD DE CHIPILTEPEC DEL MUNICIPIO DE TOCHTEPEC,"1,394,792.63","689,724.96",
3716,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,189,TOCHTEPEC,ADOQUINAMIENTO DE LA CALLE 9 PONIENTE ENTRE 5 SUR Y 9 SUR DE LA LOCALIDAD DE TOCHTEPEC DEL MUNICIPIO DE TOCHTEPEC,"964,611.11","477,000.20",
3717,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,189,TOCHTEPEC,ADOQUINAMIENTO DE LA PRIVADA ORIENTE  ENTRE LAS CALLES JUAREZ E INDEPENDENCIA EN LA LOCALIDAD DE SAN JOSE BUENAVISTA MUNICIPIO DE TOCHTEPEC,"880,136.81","435,227.65",
3718,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,196,XAYACATLÁN DE BRAVO,PAVIMENTACIÓN  CON CONCRETO  HIDRÁULICO EN LA CALLE MAMEY ENTRE CALLE EL PITAYO Y  BACHILLERATO DE LA SECCION SEGUNDA ,"1,371,218.00","678,067.30",
3719,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,197,XICOTEPEC,"REMODELACIÓN DE ANDADOR PEATONAL Y VEHICULAR CON INFRAESTRUCTURA DEL CIRCUITO FORMADO POR LA CALLE EL TEPEYAC Y CALLE LA PEDRERA DE LA COLONIA EL TABACAL, LOCALIDAD DE  XICOTEPEC DE JUÁREZ, MUNICIPIO DE XICOTEPEC, PUEBLA","3,000,000.00","1,483,500.00",
3720,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,197,XICOTEPEC,"CONSTRUCCIÓN DE DRENAJE, CANAL PLUVIAL Y ANDADOR PEATONAL ENTRE CALLE ZARAGOZA Y DOS DE ABRIL DE LA COLONIA CENTRO, LOCALIDAD DE XICOTEPEC DE JUÁREZ, MUNICIPIO DE XICOTEPEC, PUEBLA","4,000,000.00","1,978,000.00",
3721,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,213,ZIHUATEUTLA,PAVIMENTACION CON CONCRETO HIDRAULICO DE CALLE SALIDA A ZIHUATEUTLA EN OCOMANTLA,"1,500,000.00","741,750.00",
3722,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,56,CHILA DE LA SAL,"TECHADO DE CANCHA DE USOS MULTIPLES DE BACHILLER JUAN ESCUTIA C.C.T. 21EBH0625B, DEL MUNICIPIO DE CHILA DE LA SAL","1,315,549.00","650,538.98",
3723,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,56,CHILA DE LA SAL,"TECHADO DE EXPLANDA DE LA PRESIDENCIA MUNICIPAL, DEL MUNICIPIO DE CHILA DE LA SAL","1,000,000.00","494,500.00",
3724,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,172,TETELA DE OCAMPO,PAVIMENTACION CON CONCRETO HIDRÁULICO DE LA CALLE HACIA LA LIMA,"3,000,000.00","1,483,500.00",
3725,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,172,TETELA DE OCAMPO,"PAVIMENTACIÓN CON CONCRETO HIDRÁULICO DE CALLE SIN NOMBRE ENTRE CALLE 5 NORTE Y PRIVADA SIN NOMBRE, EN LA CIUDAD DE TETELA DE OCAMPO","3,000,000.00","1,483,500.00",
3726,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,172,TETELA DE OCAMPO,PAVIMENTACION CON CONCRETO HIDRAULICO DE LA CALLE ACCESO A LA CIUDAD DE TETELA DE OCAMPO,"5,000,000.00","2,472,500.00",
3727,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,21,PUEBLA,3,ACATLÁN,"CONSTRUCCIÓN DE CENTRO DEPORTIVO, ESPARCIMIENTO Y ACONDICIONAMIENTO FÍSICO EN LA LOCALIDAD DE ACATLÁN DE OSORIO, ACATLÁN PUEBLA. ","3,000,000.00","1,483,500.00",
3728,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,12,PEDRO ESCOBEDO,"CONSTRUCCION DE ARCOTECHO EN CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NUM 256
","1,100,000.00","543,950.00",
3729,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,12,PEDRO ESCOBEDO,"AMPLIACION DE RED DE DRENAJE EL RUEDO LA PALMA, PEDRO ESCOBEDO, QRO.

","698,989.96","345,650.53",
3730,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,12,PEDRO ESCOBEDO,"REHABILITACION DE PAVIMENTO DE EMPEDRADO AHOGADO EN CALLE VICENTE SUAREZ
","701,010.04","346,649.47",
3731,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,2,PINAL DE AMOLES,PAVIMENTACION CALLE PEDRO ESCOBEDO,"1,500,000.00","741,750.00",
3732,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,6,CORREGIDORA,MEJORAMIENTO DE VIALIDADES Y URBANIZACIÓN SANTA BARBARA,"6,000,000.00","2,967,000.00",
3733,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,6,CORREGIDORA,"CONSTRUCCIÓN DE PUENTE PEATONAL ZONA SUR ORIENTE
","5,000,000.00","2,472,500.00",
3734,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,6,CORREGIDORA,"AMPLIACIÓN DE CARRIL DE ACCESO A COMUNIDADES ZONA SUR, SOBRE LIBRAMIENTO SUR PONIENTE","9,500,000.00","4,697,750.00",
3735,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,6,CORREGIDORA,MEJORAMIENTO ACCESO A LOS OLVERA,"3,500,000.00","1,730,750.00",
3736,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,6,CORREGIDORA,MEJORAMIENTO DE VIALIDADES Y URBANIZACIÓN MISIÓN SAN CARLOS ,"4,000,000.00","1,978,000.00",
3737,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,6,CORREGIDORA,MEJORAMIENTO DE VIALIDADES EN CANDILES,"3,000,000.00","1,483,500.00",
3738,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,15,SAN JOAQUÍN,CONSTRUCCIÓN DE RED DE DRENAJE SANITARIO BARRIO LAS PERITAS.-SAN JOAQUIN,"1,500,000.00","741,750.00",
3739,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,"RECONFORMACIÓN Y AMPLIACIÓN DE CALLE EN AV. DE LA LUZ, INCLUYE ELECTRIFICACIÓN","5,055,611.73","2,500,000.00",
3740,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,CONSTRUCCIÓN DE PISTA PARA PATINETAS (SKATEBOARDING) EN LA COLONIA PEÑUELAS,"4,187,512.64","2,070,725.00",
3741,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA MIGUEL HIDALGO EN LA COLONIA CENTRO,"320,921.65","158,695.76",
3742,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA IGNACIO ALLENDE EN LA COLONIA BOLAÑOS ,"1,224,974.71","605,749.99",
3743,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,PARQUE LINEAL AV. CONSTITUCIÓN,"9,998,988.88","4,944,500.00",
3744,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA PRESIDENTE LUIS ECHEVERRIA ÁLVAREZ,"1,076,743.24","532,449.53",
3745,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,REHABILITACIÓN DE SUPERFICIE DE RODAMIENTO MEDIANTE PAVIMENTO ASFÁLTICO EN CALLE DAMIAN CARMONA Y AVENIDA HERCULES,"7,800,000.00","3,857,100.00",
3746,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA LIC. BENITO JUÁREZ EN LA COLONIA SAN PABLO,"1,213,346.72","599,999.95",
3747,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA RAFAEL RAMÍREZ DE SAN ISIDRO EL ALTO,"1,011,062.54","499,970.43",
3748,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,"CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA MIGUEL HIDALGO, TLACOTE EL ALTO","599,035.67","296,223.13",
3749,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA ANDRÉS BALVANERA MARTÍNEZ EN CHARAPE DE LOS PELONES,"421,766.89","208,563.72",
3750,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,PARQUE LINEAL LUIS VEGA Y MONROY,"4,513,378.74","2,231,865.79",
3751,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA MIGUEL HIDALGO EN LA COMUNIDAD DE CASA BLANCA,"910,010.11","450,000.00",
3752,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA PIPILA EN LA COLONIA VICTORIA POPULAR,"1,264,593.83","625,341.65",
3753,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA GENERAL IGNACIO ZARAGOZA EN LA COMUNIDAD DE LA MONJA,"910,010.08","449,999.98",
3754,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,"CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA ADOLFO LÓPEZ MATEOS, CERRO DE LA CRUZ","731,207.44","361,582.08",
3755,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,"REENCARPETADO ASFALTICO DE LATERAL SUR DE BERNARDO QUINTANA, DE AVENIDA 5 DE FEBRERO HASTA LA INTERSECCIÓN DE LA AUTOPISTA MÉXICO-QUERETARO","8,260,212.34","4,084,675.01",
3756,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA BENITO JUÁREZ EN LA COLONIA CENTRO,"942,827.24","466,228.07",
3757,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,22,QUERÉTARO,14,QUERÉTARO,CONSTRUCCIÓN DE TECHUMBRE EN ESCUELA PRIMARIA MARIANO ESCOBEDO EN ESTANCIA DE LA ROCHERA,"910,010.11","450,000.00",
